epoch,value,layer_name,trace
4,6.802011863459484,model.fc3,sum
4,0.7994595021009445,model.relu3,within
4,0.0006289225184445968,model.relu3,between
4,0.8000884246193891,model.relu3,sum
4,0.36428001150488853,model.fc4,within
4,0.0002763724714895943,model.fc4,between
4,0.36455638397637813,model.fc4,sum
4,0.04312766436487436,model.relu4,within
4,3.3431629503866134e-05,model.relu4,between
4,0.04316109599437823,model.relu4,sum
4,0.021519429050385952,model.fc5,within
4,1.639195454572473e-05,model.fc5,between
4,0.021535821004931677,model.fc5,sum
4,0.0025137253833236173,model.relu5,within
4,1.910936468618729e-06,model.relu5,between
4,0.002515636319792236,model.relu5,sum
4,0.0012751063768519089,model.fc6,within
4,9.789209229893459e-07,model.fc6,between
4,0.0012760852977748982,model.fc6,sum
4,0.00015037569210107904,model.relu6,within
4,1.1237922414863988e-07,model.relu6,between
4,0.00015048807132522768,model.relu6,sum
4,7.555524143754155e-05,model.fc7,within
4,5.5384949959602636e-08,model.fc7,between
4,7.561062638750116e-05,model.fc7,sum
4,8.972025227649283e-06,model.relu7,within
4,6.9137165992216865e-09,model.relu7,between
4,8.978938944248505e-06,model.relu7,sum
4,4.514088544738115e-06,model.fc8,within
4,3.535296180801062e-09,model.fc8,between
4,4.517623840918916e-06,model.fc8,sum
4,5.43312140166563e-07,model.relu8,within
4,4.3765078540369817e-10,model.relu8,between
4,5.437497909519667e-07,model.relu8,sum
4,2.526855471529643e-07,model.fc9,within
4,1.981054946822991e-10,model.fc9,between
4,2.528836526476466e-07,model.fc9,sum
4,2.9410953894526415e-08,model.relu9,within
4,2.1684357976760327e-11,model.relu9,between
4,2.9432638252503175e-08,model.relu9,sum
4,1.2851637587463216e-08,model.fc10,within
4,9.803060842467418e-12,model.fc10,between
4,1.2861440648305683e-08,model.fc10,sum
4,226288.8310546875,model,within
4,225.62970209121704,model,between
4,226514.46075677872,model,sum
4,226288.8310546875,,within
4,225.62970209121704,,between
4,226514.46075677872,,sum
5,224347.646484375,model.flatten,within
5,237.3700132369995,model.flatten,between
5,224585.016497612,model.flatten,sum
5,224347.646484375,model.fc0,within
5,237.37001514434814,model.fc0,between
5,224585.01649951935,model.fc0,sum
5,6840.141662597656,model.relu0,within
5,7.239513859152794,model.relu0,between
5,6847.381176456809,model.relu0,sum
5,2389.408432006836,model.fc1,within
5,2.0953694581985474,model.fc1,between
5,2391.5038014650345,model.fc1,sum
5,214.5144863128662,model.relu1,within
5,0.18505981005728245,model.relu1,between
5,214.6995461229235,model.relu1,sum
5,81.45492744445801,model.fc2,within
5,0.06559715536423028,model.fc2,between
5,81.52052459982224,model.fc2,sum
5,7.244963645935059,model.relu2,within
5,0.00591320963576436,model.relu2,between
5,7.250876855570823,model.relu2,sum
5,3.093845158815384,model.fc3,within
5,0.00245231937878998,model.fc3,between
5,3.096297478194174,model.fc3,sum
5,0.27986079454421997,model.relu3,within
5,0.000229113296882133,model.relu3,between
5,0.2800899078411021,model.relu3,sum
5,0.13091707695275545,model.fc4,within
5,0.00010398180438642157,model.fc4,between
5,0.13102105875714187,model.fc4,sum
5,0.01187144743744284,model.relu4,within
5,9.634720697704324e-06,model.relu4,between
5,0.011881082158140543,model.relu4,sum
5,0.005930187267949805,model.fc5,within
5,4.8239637351343845e-06,model.fc5,between
5,0.005935011231684939,model.fc5,sum
5,0.000532349142304156,model.relu5,within
5,4.310477930147272e-07,model.relu5,between
5,0.0005327801900971707,model.relu5,sum
5,0.00027176655385119375,model.fc6,within
5,2.2388272302720225e-07,model.fc6,between
5,0.00027199043657422095,model.fc6,sum
5,2.466214777996356e-05,model.relu6,within
5,1.959467799128589e-08,model.relu6,between
5,2.4681742457954847e-05,model.relu6,sum
5,1.2473269975998846e-05,model.fc7,within
5,1.0013494866623063e-08,model.fc7,between
5,1.248328347086547e-05,model.fc7,sum
5,1.1396464287827257e-06,model.relu7,within
5,9.564622670266143e-10,model.relu7,between
5,1.1406028910497523e-06,model.relu7,sum
5,5.769284889822757e-07,model.fc8,within
5,4.971091541877692e-10,model.fc8,between
5,5.774255981364634e-07,model.fc8,sum
5,5.301562877590982e-08,model.relu8,within
5,4.612232048107484e-11,model.relu8,between
5,5.306175109639089e-08,model.relu8,sum
5,2.4747309312900256e-08,model.fc9,within
5,2.1154181162851005e-11,model.fc9,between
5,2.4768463494063107e-08,model.fc9,sum
5,2.2274203176353424e-09,model.relu9,within
5,1.823338328195076e-12,model.relu9,between
5,2.2292436559635375e-09,model.relu9,sum
5,9.823143687359703e-10,model.fc10,within
5,8.379472280167864e-13,model.fc10,between
5,9.831523159639871e-10,model.fc10,sum
5,224347.646484375,model,within
5,237.3700132369995,model,between
5,224585.016497612,model,sum
5,224347.646484375,,within
5,237.3700132369995,,between
5,224585.016497612,,sum
7,228433.083984375,model.flatten,within
7,232.75642251968384,model.flatten,between
7,228665.84040689468,model.flatten,sum
7,228433.083984375,model.fc0,within
7,232.75642251968384,model.fc0,between
7,228665.84040689468,model.fc0,sum
7,4119.290100097656,model.relu0,within
7,4.199030444025993,model.relu0,between
7,4123.489130541682,model.relu0,sum
7,1440.0496368408203,model.fc1,within
7,1.2321967743337154,model.fc1,between
7,1441.281833615154,model.fc1,sum
7,76.43589115142822,model.relu1,within
7,0.06414862279780209,model.relu1,between
7,76.50003977422602,model.relu1,sum
7,29.114163875579834,model.fc2,within
7,0.0229416397633031,model.fc2,between
7,29.137105515343137,model.fc2,sum
7,1.5296526998281479,model.relu2,within
7,0.001179581340693403,model.relu2,between
7,1.5308322811688413,model.relu2,sum
7,0.6790418066084385,model.fc3,within
7,0.0005057001417299034,model.fc3,between
7,0.6795475067501684,model.fc3,sum
7,0.03634536056779325,model.relu3,within
7,2.7642429415664083e-05,model.relu3,between
7,0.036373002997208914,model.relu3,sum
7,0.01758409372996539,model.fc4,within
7,1.2605567292212072e-05,model.fc4,between
7,0.0175966992972576,model.fc4,sum
7,0.000936629410716705,model.relu4,within
7,6.840416855169451e-07,model.relu4,between
7,0.000937313452402222,model.relu4,sum
7,0.0004704074417531956,model.fc5,within
7,3.411879410109009e-07,model.fc5,between
7,0.0004707486296942065,model.fc5,sum
7,2.4910148113121977e-05,model.relu5,within
7,1.814855543624816e-08,model.relu5,between
7,2.4928296668558225e-05,model.relu5,sum
7,1.272471536140074e-05,model.fc6,within
7,9.372065817858655e-09,model.fc6,between
7,1.2734087427218599e-05,model.fc6,sum
7,6.808169814576104e-07,model.relu6,within
7,4.798408094475182e-10,model.relu6,between
7,6.812968222670579e-07,model.relu6,sum
7,3.4205260845965313e-07,model.fc7,within
7,2.416150491485469e-10,model.fc7,between
7,3.422942235088017e-07,model.fc7,sum
7,1.8326863249207292e-08,model.relu7,within
7,1.333142507519737e-11,model.relu7,between
7,1.834019467428249e-08,model.relu7,sum
7,9.27666793382187e-09,model.fc8,within
7,6.836954491592183e-12,model.fc8,between
7,9.283504888313462e-09,model.fc8,sum
7,4.995455542278204e-10,model.relu8,within
7,3.7326170308765857e-13,model.relu8,between
7,4.999188159309081e-10,model.relu8,sum
7,2.3299942010501784e-10,model.fc9,within
7,1.6687801145012348e-13,model.fc9,between
7,2.3316629811646796e-10,model.fc9,sum
7,1.2404018242227755e-11,model.relu9,within
7,8.819304373364035e-15,model.relu9,between
7,1.2412837546601119e-11,model.relu9,sum
7,5.348003940738866e-12,model.fc10,within
7,3.935142860557391e-15,model.fc10,between
7,5.351939083599423e-12,model.fc10,sum
7,228433.083984375,model,within
