epoch,value,layer_name
4,[-23448.611 -40194.17  -15688.086 ...  46893.418  67837.414  29125.52 ],model.block8.fc
4,"[ -8127.1494  -8887.961  -30586.002  ...  -2055.3271 -26175.117
    660.5918]",model.block8.relu
4,"[ 597265.8   2245032.2   -102756.38  ...   44544.863  124808.414
   33607.836]",model.block9.fc
4,[124157.24  -51330.617 -47602.73  ...  57950.293  25408.94   49212.21 ],model.block9.relu
4,"[297939.7    162751.66    -5381.6025 ... -55999.125   14214.366
 -90912.91  ]",model.fc
5,"[ 5.5972395e+06  4.5196255e+06  9.9268480e+06 ...  9.7555225e+03
 -7.4252656e+04 -5.1850625e+03]",model.block0.fc
5,[17756.268   2038.5938 21069.146  ... -5679.118  -2150.692  -4044.0293],model.block0.relu
5,[21025.969  17617.309  11186.786  ... 18585.729  -9225.698  -3230.8242],model.block1.fc
5,[19854.158   6536.6987  1753.2302 ... -2986.6753  1261.2646 -1867.752 ],model.block1.relu
5,[ 2794.9697  8832.369   6767.5073 ... 14119.02    5292.3125  7892.4395],model.block2.fc
5,"[-10765.2      19442.508       96.47461 ...  -2880.306    11593.561
  -6128.6387 ]",model.block2.relu
5,"[-10582.92    40082.008   23286.582  ... -23519.744   14068.143
  -5453.2383]",model.block3.fc
5,"[14278.875    -244.02539  4158.628   ...  -721.10986  3863.8108
  -224.5155 ]",model.block3.relu
5,[41845.035   7041.605  50950.35   ... -4297.2827 25859.854  24620.598 ],model.block4.fc
5,[-81095.55   19571.176  14947.705 ...  55784.98  -27445.191 -43421.445],model.block4.relu
5,"[-218830.67    37783.633  -31707.703 ...  136671.48    10969.07
 -111912.37 ]",model.block5.fc
5,"[14981.863   12095.019   -2976.6245  ... -2442.2817    901.22314
  3407.2827 ]",model.block5.relu
5,[32451.998  33083.707  -6122.1875 ... 40784.082   8377.568  38986.496 ],model.block6.fc
5,[ 10566.209  21052.033  53582.836 ... -22731.477  10954.881 -16206.359],model.block6.relu
5,"[-55702.254   57900.984  -16360.838  ... -66818.67     7234.8022
 -81257.39  ]",model.block7.fc
5,"[ -55141.06    68642.31  -217664.75  ...    5239.561  -16729.227
  -13414.74 ]",model.block7.relu
5,"[1.9488232e+04 2.5008392e+01 1.9861643e+04 ... 2.6930119e+04 2.5407320e+04
 1.9128098e+04]",model.block8.fc
5,"[-13403.09   -10221.859  -21583.863  ...  -3809.942  -20762.883
  -2570.1562]",model.block8.relu
5,[546543.6    46640.46   81511.266 ...  17654.322 -50545.285  22843.023],model.block9.fc
5,[146198.64  -30981.91  -13629.225 ...  20683.504  -2380.829  20773.398],model.block9.relu
5,"[  1764.3191  28297.68    87014.44   ... -13217.349    2764.6216
  -5534.7114]",model.fc
7,"[ 3.2578035e+06 -4.1645370e+06 -1.9965204e+06 ...  5.5596914e+03
 -6.0568645e+04  3.0541179e+03]",model.block0.fc
7,[ 6642.809   6214.542  19168.057  ... -2527.4104 -1426.7227 -3927.142 ],model.block0.relu
7,[17001.023  36450.906  19699.361  ... 13969.879  -7916.248   2532.4106],model.block1.fc
7,"[  -362.8982 -51180.527  -33202.418  ...  -4040.0571   5558.3203
   2768.2793]",model.block1.relu
7,[ 3033.3633  5960.765   8858.227  ... 12279.49    9097.096   5742.3516],model.block2.fc
7,"[144221.44     5643.2734 -23333.674  ...   2049.0383  -4258.787
 -15613.329 ]",model.block2.relu
7,[80032.55   48072.555  27226.412  ... -8657.231  35267.83    -869.8218],model.block3.fc
7,"[ 11575.524    7069.41    12253.245  ... -10746.718     588.5088
  -6386.327 ]",model.block3.relu
7,[ 71827.63   42970.44   30639.516 ... -15520.529   9845.047  12601.115],model.block4.fc
7,"[-42973.867  -50025.383   55792.953  ...  24535.799   -3961.9934
 -39182.297 ]",model.block4.relu
7,[-32691.447  23985.482  45932.24  ...  72068.32   21806.248 -92565.07 ],model.block5.fc
7,"[37104.594   12474.375   21276.188   ...   936.66895 -1210.1923
  1178.7932 ]",model.block5.relu
7,[26930.312 29511.08  18788.414 ... 23387.281 18395.273 12623.598],model.block6.fc
7,"[  7813.7236  40164.72    10573.779  ...  -5698.1606  15073.039
 -14497.489 ]",model.block6.relu
7,"[181017.42    -7052.0596 -53493.11   ... -75684.234   -4449.8027
 -98232.445 ]",model.block7.fc
7,[ 23738.95   67693.6   -88130.16  ... -57755.684 -39475.84  -43577.58 ],model.block7.relu
7,[28811.89    3672.6394 76697.72   ... 31440.031  31165.713  31662.258 ],model.block8.fc
7,"[ -89141.5    -123726.94    -53807.684  ...   -1063.1307 -102878.695
   18421.28  ]",model.block8.relu
7,[508592.56  -94882.62   57638.777 ...  34458.78  184727.9   -12109.254],model.block9.fc
7,"[ -90036.016 -110771.7    -77145.836 ...   69608.92   -23371.193
  109204.31 ]",model.block9.relu
7,"[100531.45    34037.02    16357.033  ...  -5883.2227   9524.02
 -47163.402 ]",model.fc
10,"[ 3.0615318e+06 -4.2229228e+05 -2.2757520e+06 ... -4.7120062e+04
 -7.8367930e+03  2.0211665e+03]",model.block0.fc
10,[18813.168  11914.543  28972.414  ... -1836.4634 -1262.0437 -8485.007 ],model.block0.relu
10,[140173.31   66321.3    38105.84  ...  15067.601   7502.122   8750.524],model.block1.fc
10,"[10979.4      8685.352   -2834.9253  ... -2724.812     184.84326
  4607.1206 ]",model.block1.relu
10,[ 9680.043 28700.727 44620.61  ... 16126.367 18057.158  9556.619],model.block2.fc
10,"[  3087.581    54449.875   -35417.07    ...   -345.09534    251.91016
  -8442.838  ]",model.block2.relu
10,[63975.945  41789.1    18773.2    ... -2992.2727 23010.79   15773.183 ],model.block3.fc
10,"[ 12206.539   19476.152   12229.973  ...  -3512.4683   9468.22
 -20035.365 ]",model.block3.relu
10,[ 71914.375  -8230.189  24076.717 ... -11020.939  17986.361 -15998.578],model.block4.fc
10,[-83938.05  -84134.266 -37908.695 ...  45074.71  -11476.172 -31991.404],model.block4.relu
10,"[  37438.066   -24280.303     6031.6997 ...   95161.42     18575.846
 -113318.55  ]",model.block5.fc
10,[ 3234.9229  4594.267  15347.536  ... -1538.4556  3210.4636  7599.1143],model.block5.relu
10,[-4899.031 29524.297 10337.804 ... 24582.357 25825.209 34608.258],model.block6.fc
10,"[ 14737.909   25393.363    1355.1016 ...   6568.182   -2221.5752
 -11890.199 ]",model.block6.relu
10,"[194079.02    41130.95    66299.34   ...   -619.9031  11327.914
 -44576.75  ]",model.block7.fc
10,"[ -92070.586  -20143.033 -160174.61  ...  -63415.945  -43566.906
  -59088.24 ]",model.block7.relu
10,[12602.597 23949.63   5957.581 ... 30680.766 32679.674 11864.488],model.block8.fc
10,"[-14671.168  -16828.566   -6994.3447 ... -17126.064  -35468.375
 -14993.672 ]",model.block8.relu
10,"[-167677.31    82948.09   268427.    ...   22430.186   79025.89
   22829.396]",model.block9.fc
10,[163700.36  -74534.945 -85753.66  ...  21706.648 -25404.643  67213.39 ],model.block9.relu
10,[152236.08   57965.516  10873.78  ... -72938.32  -14517.43  -61999.66 ],model.fc
14,"[ 306731.78   -565125.3     450237.12   ...   17492.836    17385.32
    2075.9197]",model.block0.fc
14,"[10054.093   18190.533   28906.932   ...  4882.7656    831.09937
 -6618.985  ]",model.block0.relu
14,[46066.105 54998.156 11177.723 ... 12527.49   7179.411 14594.852],model.block1.fc
14,"[11880.811   -8733.305   -2915.2488  ... -4959.5156  -1967.5242
   215.24585]",model.block1.relu
14,"[  7298.6177  -9581.453  -18279.617  ...  21209.094    9678.172
   5318.594 ]",model.block2.fc
14,"[-47804.82    84655.375  -10202.725  ...  -2291.1995  13532.924
 -18163.027 ]",model.block2.relu
14,"[104702.79     2583.5366 -29157.826  ...  -1955.3196  45666.348
 -23468.035 ]",model.block3.fc
14,[ 46866.023  57204.01   10390.051 ...  -4193.172   9136.133 -21282.168],model.block3.relu
14,"[   220.24414  47052.137    15734.149   ... -16315.447    -1207.2966
 -16710.11   ]",model.block4.fc
14,[-10597.483 100630.56   25705.84  ...  39012.348  -6753.541 -66770.016],model.block4.relu
14,"[  50604.31     10832.755    84701.18   ...   89038.25     -5028.4917
 -112914.95  ]",model.block5.fc
14,"[ 6.3243203e+03  1.3495637e+04 -2.7599629e+03 ...  2.3963787e+03
 -1.5112305e+00 -1.2584842e+04]",model.block5.relu
14,[81635.72   26511.56    9669.6045 ...  5171.8213  2900.8257 -5521.702 ],model.block6.fc
14,"[  9634.767   29838.008  128515.78   ...   6263.3945 -10502.1
 -23478.95  ]",model.block6.relu
14,[273126.6    53053.375  58798.082 ... -74122.01   29421.17  -83489.4  ],model.block7.fc
14,"[-22131.496     970.4612  12455.875  ...  -6924.2407 -21916.375
 -17751.623 ]",model.block7.relu
14,"[12591.456   -1402.5732  -6515.953   ...   619.31616  1160.6086
 -2199.1318 ]",model.block8.fc
14,"[-49042.47    -2590.4458 -31300.527  ... -23759.256  -23530.363
 -16068.803 ]",model.block8.relu
14,[-9379.901 23074.018 32731.73  ... 24970.492 35743.047 30502.166],model.block9.fc
14,"[  6048.633   89702.664    3605.4233 ...  44966.4    -22979.62
  45678.895 ]",model.block9.relu
14,[ 9172.975  -2205.1025  7386.765  ...  1990.7644 -2249.2905  5785.2134],model.fc
20,"[ 1.0054849e+07  3.4790835e+06 -8.1270145e+06 ... -4.3784617e+04
  3.3179613e+04 -4.6828989e+03]",model.block0.fc
20,[22017.457 17525.422 16860.762 ... 19562.324  6495.868 -9287.384],model.block0.relu
20,"[100920.19    38313.086   26453.318  ...  44668.953   -1989.1572
 -14852.325 ]",model.block1.fc
20,"[  64706.11     -32814.062   -148678.98    ...  -17009.875      8145.0557
     306.96753]",model.block1.relu
20,[37908.016  67944.78   49437.793  ...  1604.5846 -8035.534   4288.3535],model.block2.fc
20,"[ 28339.012   20923.18    -7445.092  ...  17587.205    1167.4219
 -20664.021 ]",model.block2.relu
20,"[ 55847.656   23581.44    -5509.4062 ...  -3517.5776  17958.484
 -23142.098 ]",model.block3.fc
20,"[  1057.4395  35816.266    8729.738  ...   9507.952   -9914.643
 -12625.998 ]",model.block3.relu
20,[15591.672  19997.025   8711.41   ... -1748.6675  8100.564  -4367.449 ],model.block4.fc
20,"[-21043.77    21108.057  -10516.06   ...  25461.703    -706.9497
 -48356.09  ]",model.block4.relu
20,"[  27562.148   51080.027  -21852.26  ...   65220.43    23023.096
 -101987.2  ]",model.block5.fc
20,"[ 16147.816   17066.027  -10199.127  ...  -3074.7498  11295.513
  -9734.953 ]",model.block5.relu
20,[-7329.77    3677.1062 20654.248  ...   477.9104 12042.83   -5768.075 ],model.block6.fc
20,"[  7428.102   20995.64    -1436.6775 ...  -7359.1675   1004.7797
 -31564.848 ]",model.block6.relu
20,[152208.73    9647.44  -49934.707 ... -42016.152  10197.349 -94601.45 ],model.block7.fc
20,"[ 10062.758   12092.748   -4388.174  ...  -1100.8008 -11848.161
 -16511.514 ]",model.block7.relu
20,[27792.879   8322.918  41369.184  ...  3132.6978  2896.8103  2832.848 ],model.block8.fc
20,[-43354.57   12535.452 -15996.38  ... -21014.729 -30075.455 -33005.805],model.block8.relu
20,"[ 180795.42   111332.34  -209332.81  ...    9943.865    5254.298
   31731.67 ]",model.block9.fc
20,"[ 10904.284    4322.5386 -11303.857  ...  13871.87    -1389.4019
  24343.998 ]",model.block9.relu
20,"[ 3334.3555  -5141.382   -3571.8164  ...   271.34448 -1666.6548
  7661.247  ]",model.fc
30,"[ 8.0732550e+06  6.1691750e+05 -3.7127672e+06 ...  2.7318381e+04
 -1.1191463e+04 -6.8272571e+02]",model.block0.fc
30,"[ 33514.09    29355.15    30188.46   ... -10205.135    4763.6357
  11236.052 ]",model.block0.relu
30,[36108.99  20527.139 44788.156 ... 19419.098 14021.221  4541.218],model.block1.fc
30,"[113449.766   -3027.1123 -23596.447  ...  10984.3125  18577.44
  -3854.4995]",model.block1.relu
30,[ 28269.535  49196.395 -61453.047 ...  25911.576  34183.758  20287.465],model.block2.fc
30,"[ 17881.094    5440.2314   8582.049  ...  18548.26   -10564.222
   7085.929 ]",model.block2.relu
30,[67547.2     9633.255  67596.77   ...   335.1266  1227.0366  5654.547 ],model.block3.fc
30,"[ 60250.234  102484.68    15971.701  ...   8031.4756  -9672.747
 -21841.422 ]",model.block3.relu
30,"[ 21344.28    61196.918   18805.264  ...  -4528.4595   3556.1067
 -14032.084 ]",model.block4.fc
30,"[ 41621.53    12995.102   -4718.211  ...  13977.152    4831.6704
 -16322.15  ]",model.block4.relu
30,[ 57978.81   26472.191  -4839.723 ...  27886.29   15806.819 -39267.215],model.block5.fc
30,"[15211.475   14274.088     668.13513 ... -8124.267   12180.82
  -166.52222]",model.block5.relu
30,[24730.95   -4565.558  10058.906  ...  1098.3287 11822.8955 -4613.1245],model.block6.fc
30,[ 4698.1733 19730.14   13169.37   ...  -551.0813 -4342.8003 -7573.153 ],model.block6.relu
30,"[  8823.623    6509.021    3415.5337 ...  -9752.389    1374.3784
 -11004.18  ]",model.block7.fc
30,[ 5499.3706 -3519.8481  4516.115  ...  3237.626   4679.475   6934.3994],model.block7.relu
30,[23764.096  -1187.0037  -956.8984 ...  3451.3784  8427.986   1419.887 ],model.block8.fc
